Date           Buying Rate    Selling Rate   
=============================================
2021-04-26     4.522          4.6134         
2021-04-27     4.5133         4.6045         
2021-04-28     4.5204         4.6118         
2021-04-29     4.5415         4.6333         
2021-04-30     4.5238         4.6152         
2021-05-04     4.5114         4.6026         
2021-05-05     4.5147         4.6059         
2021-05-06     4.527          4.6184         
2021-05-07     4.5324         4.624          
2021-05-10     4.516          4.6072         
2021-05-11     4.5162         4.6074         
2021-05-12     4.5032         4.5942         
2021-05-13     4.4981         4.5889         
2021-05-14     4.4828         4.5734         
2021-05-17     4.4814         4.572          
2021-05-18     4.4899         4.5807         
2021-05-19     4.4752         4.5656         
2021-05-20     4.4767         4.5671         
2021-05-21     4.4562         4.5462         
2021-05-24     4.4439         4.5337         
2021-05-25     4.4389         4.5285         
2021-05-26     4.4376         4.5272         
2021-05-27     4.4486         4.5384         
2021-05-28     4.4402         4.53           
2021-05-31     4.4395         4.5291         
2021-06-01     4.4392         4.5288         
2021-06-02     4.4202         4.5094         
2021-06-04     4.4192         4.5084         
2021-06-07     4.4216         4.511          
2021-06-08     4.4241         4.5135         
2021-06-09     4.422          4.5114         
2021-06-10     4.4172         4.5064         
2021-06-11     4.4285         4.5179         
2021-06-14     4.4362         4.5258         
2021-06-15     4.4696         4.5598         
2021-06-16     4.4815         4.5721         
2021-06-17     4.4662         4.5564         
2021-06-18     4.5016         4.5926         
2021-06-21     4.5044         4.5954         
2021-06-22     4.49           4.5808         
2021-06-23     4.475          4.5654         
2021-06-24     4.4812         4.5718         
2021-06-25     4.478          4.5684         
2021-06-28     4.4676         4.5578         
2021-06-29     4.456          4.546          
2021-06-30     4.4709         4.5613         
2021-07-01     4.4764         4.5668         
2021-07-02     4.4627         4.5529         
2021-07-05     4.4744         4.5648         
2021-07-06     4.4627         4.5529         
2021-07-07     4.4514         4.5414         
2021-07-08     4.4812         4.5718         
2021-07-09     4.5033         4.5943         
2021-07-12     4.5023         4.5933         
2021-07-13     4.5102         4.6014         
2021-07-14     4.5226         4.614          
2021-07-15     4.5298         4.6214         
2021-07-16     4.5331         4.6247         
2021-07-19     4.5372         4.6288         
2021-07-20     4.5462         4.638          
2021-07-21     4.5502         4.6422         
2021-07-22     4.5453         4.6371         
2021-07-23     4.5173         4.6085         
2021-07-26     4.5217         4.6131         
2021-07-27     4.5476         4.6394         
2021-07-28     4.5447         4.6365         
2021-07-29     4.5507         4.6427         
2021-07-30     4.5331         4.6247         
2021-08-02     4.5147         4.6059         
2021-08-03     4.5078         4.5988         
2021-08-04     4.5098         4.601          
2021-08-05     4.4908         4.5816         
2021-08-06     4.4998         4.5908         
2021-08-09     4.516          4.6072         
2021-08-10     4.5197         4.6111         
2021-08-11     4.5317         4.6233         
2021-08-12     4.5366         4.6282         
2021-08-13     4.5347         4.6263         
2021-08-16     4.5293         4.6209         
2021-08-17     4.5222         4.6136         
2021-08-18     4.5167         4.6079         
2021-08-19     4.5144         4.6056         
2021-08-20     4.5397         4.6315         
2021-08-23     4.5395         4.6313         
2021-08-24     4.5393         4.6311         
2021-08-25     4.5307         4.6223         
2021-08-26     4.5268         4.6182         
2021-08-27     4.5314         4.623          
2021-08-30     4.5295         4.6211         
2021-08-31     4.5215         4.6129         
2021-09-01     4.4827         4.5733         
2021-09-02     4.4621         4.5523         
2021-09-03     4.4633         4.5535         
2021-09-06     4.4672         4.5574         
2021-09-07     4.48           4.5706         
2021-09-08     4.4699         4.5603         
2021-09-09     4.4723         4.5627         
2021-09-10     4.4932         4.584          
2021-09-13     4.5025         4.5935         
2021-09-14     4.5012         4.5922         
2021-09-15     4.5031         4.5941         
2021-09-16     4.5111         4.6023         
2021-09-17     4.5346         4.6262         
2021-09-20     4.5403         4.6321         
2021-09-21     4.5554         4.6474         
2021-09-22     4.5792         4.6718         
2021-09-23     4.5814         4.674          
2021-09-24     4.5664         4.6586         
2021-09-27     4.5629         4.6551         
2021-09-28     4.5476         4.6394         
2021-09-29     4.588          4.6806         
2021-09-30     4.588          4.6806         
2021-10-01     4.5548         4.6468         
2021-10-04     4.5415         4.6333         
2021-10-05     4.5282         4.6196         
2021-10-06     4.5595         4.6517         
2021-10-07     4.5175         4.6087         
2021-10-08     4.5202         4.6116         
2021-10-11     4.5704         4.6628         
2021-10-12     4.5489         4.6407         
2021-10-13     4.5302         4.6218         
2021-10-14     4.5287         4.6201         
2021-10-15     4.5253         4.6167         
2021-10-18     4.5189         4.6101         
2021-10-19     4.537          4.6286         
2021-10-20     4.5333         4.6249         
2021-10-21     4.5506         4.6426         
2021-10-22     4.5564         4.6484         
2021-10-25     4.556          4.648          
2021-10-26     4.5681         4.6603         
2021-10-27     4.56           4.6522         
2021-10-28     4.5761         4.6685         
2021-10-29     4.5762         4.6686         
2021-11-02     4.5702         4.6626         
2021-11-03     4.5617         4.6539         
2021-11-04     4.541          4.6328         
2021-11-05     4.553          4.645          
2021-11-08     4.5508         4.6428         
2021-11-09     4.5487         4.6405         
2021-11-10     4.5466         4.6384         
2021-11-12     4.5662         4.6584         
2021-11-15     4.5919         4.6847         
2021-11-16     4.5919         4.6847         
2021-11-17     4.6076         4.7006         
2021-11-18     4.6117         4.7049         
2021-11-19     4.6143         4.7075         
2021-11-22     4.6383         4.7321         
2021-11-23     4.6396         4.7334         
2021-11-24     4.6565         4.7505         
2021-11-25     4.6327         4.7263         
